obs_date,treatment,material,rate_kg_ha,n_rate_kg_ha,p_rate_kg_ha,k_rate_kg_ha,date,year,rate,units,observation_type,equipment,crop,obs_code,rate_seeds_ha,rate_seeds_m2,row_spacing_mm,seed_depth_mm,cultivar
5/15/2009,T2,0-0-60 potash fertilizer,135,0,0,40,5/15/2009,2009,120,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
6/23/2009,T2,Ammonium sulfate (AMS),4,1,NA,NA,6/23/2009,2009,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
4/20/2010,T2,28% UAN (28-0-0),180,50,0,0,4/20/2010,2010,161,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
4/29/2010,T2,28% UAN (28-0-0),132,37,0,0,4/29/2010,2010,118,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
8/16/2010,T2,Ammonium sulfate (AMS),4,1,NA,NA,8/16/2010,2010,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
8/17/2010,T2,Ammonium sulfate (AMS),4,1,NA,NA,8/17/2010,2010,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
3/30/2011,T2,0-0-60 potash fertilizer,79,0,0,23,3/30/2011,2011,70,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
5/2/2011,T2,Ammonium sulfate (AMS),4,1,NA,NA,5/2/2011,2011,4,lb/ac,Fertilizer application,NA,NA,NH4N,NA,NA,NA,NA,NA
5/6/2011,T2,19-17-0 liquid fertilizer,173,33,13,0,5/6/2011,2011,154,lb/ac,Fertilizer application,NA,NA,DAP,NA,NA,NA,NA,NA
6/15/2011,T2,28% UAN (28-0-0),443,124,0,0,6/15/2011,2011,395,lb/ac,Fertilizer application,NA,NA,UreaNO3,NA,NA,NA,NA,NA
4/11/2012,T2,lime,0,0,0,0,4/11/2012,2012,0,lb/ac,Fertilizer application,NA,NA,CalciteCA,NA,NA,NA,NA,NA
4/13/2012,T2,0-0-60 potash fertilizer,103,0,0,31,4/13/2012,2012,92,lb/ac,Fertilizer application,NA,NA,NA,NA,NA,NA,NA,NA
